event_date,swimmer,race_type,points
2026-04-04,Andrew Barnes,25m,4
2026-04-04,Andrew Barnes,50m,4
2026-04-04,Ben Chandler,25m,3
2026-04-04,Ben Chandler,50m,3
2026-04-04,Bryan Hesketh,25m,5
2026-04-04,Bryan Hesketh,50m,5
2026-04-04,David Hughes,25m,2
2026-04-04,David Hughes,50m,2
2026-04-04,Diane Foster,25m,3
2026-04-04,Diane Foster,50m,3
2026-04-04,Extra Swimmer With A Fairly Long Name 24,25m,5
2026-04-04,Extra Swimmer With A Fairly Long Name 24,50m,5
2026-04-04,Extra Swimmer With A Fairly Long Name 25,25m,5
2026-04-04,Extra Swimmer With A Fairly Long Name 25,50m,5
2026-04-04,Extra Swimmer With A Fairly Long Name 26,25m,5
2026-04-04,Extra Swimmer With A Fairly Long Name 26,50m,5
2026-04-04,Extra Swimmer With A Fairly Long Name 27,25m,4
2026-04-04,Extra Swimmer With A Fairly Long Name 27,50m,4
2026-04-04,Extra Swimmer With A Fairly Long Name 28,25m,3
2026-04-04,Extra Swimmer With A Fairly Long Name 28,50m,3
2026-04-04,Extra Swimmer With A Fairly Long Name 29,25m,4
2026-04-04,Extra Swimmer With A Fairly Long Name 29,50m,4
2026-04-04,Extra Swimmer With A Fairly Long Name 30,25m,2
2026-04-04,Extra Swimmer With A Fairly Long Name 30,50m,2
2026-04-04,Felicia O'Brien,25m,4
2026-04-04,Felicia O'Brien,50m,4
2026-04-04,Glenne Murray,25m,3
2026-04-04,Glenne Murray,50m,3
2026-04-04,Greg Patterson,25m,4
2026-04-04,Greg Patterson,50m,4
2026-04-04,Helen Sharp,25m,2
2026-04-04,Helen Sharp,50m,2
2026-04-04,James Morton,25m,3
2026-04-04,James Morton,50m,3
2026-04-04,Jenny Walsh,25m,4
2026-04-04,Jenny Walsh,50m,4
2026-04-04,Karen Mitchell,25m,5
2026-04-04,Karen Mitchell,50m,5
2026-04-04,Lisa Chen,25m,5
2026-04-04,Lisa Chen,50m,5
2026-04-04,Mark Thompson,25m,4
2026-04-04,Mark Thompson,50m,4
2026-04-04,Michelle Lee,25m,2
2026-04-04,Michelle Lee,50m,2
2026-04-04,Paul Nguyen,25m,3
2026-04-04,Paul Nguyen,50m,3
2026-04-04,Peter Davidson,25m,5
2026-04-04,Peter Davidson,50m,5
2026-04-04,Rob Stewart,25m,3
2026-04-04,Rob Stewart,50m,3
2026-04-04,Sandra Blake,25m,2
2026-04-04,Sandra Blake,50m,2
2026-04-04,Steve Collins,25m,3
2026-04-04,Steve Collins,50m,3
2026-04-04,Sue Williams,25m,5
2026-04-04,Sue Williams,50m,5
2026-04-04,Tom Richards,25m,4
2026-04-04,Tom Richards,50m,4
