id,name,is_active,joined_date,pb_25m_s,pb_50m_s,pb_75m_s,pb_backstroke_s,pb_breaststroke_s,pb_butterfly_s
22,Andrew Barnes,1,2025-05-01,16,39,62,44,45,51
4,Ben Chandler,1,2025-05-01,14,33,54,37,39,43
1,Bryan Hesketh,1,2025-05-01,13,32,52,36,38,42
10,David Hughes,1,2025-05-01,19,44,70,50,49,58
19,Diane Foster,1,2025-05-01,21,48,76,54,53,63
24,Extra Swimmer With A Fairly Long Name 24,1,2026-06-10,22,50,,,,
25,Extra Swimmer With A Fairly Long Name 25,1,2026-06-10,22,50,,,,
26,Extra Swimmer With A Fairly Long Name 26,1,2026-06-10,22,50,,,,
27,Extra Swimmer With A Fairly Long Name 27,1,2026-06-10,22,50,,,,
28,Extra Swimmer With A Fairly Long Name 28,1,2026-06-10,22,50,,,,
29,Extra Swimmer With A Fairly Long Name 29,1,2026-06-10,22,50,,,,
30,Extra Swimmer With A Fairly Long Name 30,1,2026-06-10,22,50,,,,
2,Felicia O'Brien,1,2025-05-01,16,38,62,44,42,50
3,Glenne Murray,1,2025-05-01,21,49,78,55,54,65
16,Greg Patterson,1,2025-05-01,16,38,61,43,44,50
21,Helen Sharp,1,2025-05-01,18,42,66,47,46,54
18,James Morton,1,2025-05-01,14,33,53,37,39,43
7,Jenny Walsh,1,2025-05-01,18,42,67,47,48,55
11,Karen Mitchell,1,2025-05-01,20,46,74,52,51,61
9,Lisa Chen,1,2025-05-01,16,37,60,42,43,49
5,Mark Thompson,1,2025-05-01,15,35,57,40,41,46
15,Michelle Lee,1,2025-05-01,17,41,65,46,47,53
20,Paul Nguyen,1,2025-05-01,15,36,57,40,41,47
8,Peter Davidson,1,2025-05-01,14,34,55,38,40,44
12,Rob Stewart,1,2025-05-01,15,36,58,41,42,47
13,Sandra Blake,1,2025-05-01,23,50,80,56,55,66
6,Steve Collins,1,2025-05-01,17,40,64,45,46,52
23,Sue Williams,1,2025-05-01,20,47,75,53,52,62
14,Tom Richards,1,2025-05-01,13,31,50,35,37,41
17,Wendy Cooper,1,2025-05-01,19,43,69,49,48,57
