month,rank,swimmer,total_points,events_counted
2026-05,1,Bryan Hesketh,40,4
2026-05,2,Karen Mitchell,40,4
2026-05,3,Michelle Lee,38,4
2026-05,4,Steve Collins,38,4
2026-05,5,Diane Foster,37,4
2026-05,6,Tom Richards,37,4
2026-05,7,Paul Nguyen,36,4
2026-05,8,Rob Stewart,36,4
2026-05,9,Ben Chandler,35,4
2026-05,10,Andrew Barnes,34,4
2026-05,11,Sue Williams,34,4
2026-05,12,Mark Thompson,33,4
2026-05,13,Glenne Murray,32,4
2026-05,14,James Morton,32,4
2026-05,15,Helen Sharp,31,4
2026-05,16,Sandra Blake,31,4
2026-05,17,Jenny Walsh,30,4
2026-05,18,Peter Davidson,30,4
2026-05,19,Extra Swimmer With A Fairly Long Name 27,28,4
2026-05,20,Felicia O'Brien,28,4
2026-05,21,Extra Swimmer With A Fairly Long Name 26,27,4
2026-05,22,Extra Swimmer With A Fairly Long Name 28,27,4
2026-05,23,Greg Patterson,27,4
2026-05,24,Lisa Chen,27,4
2026-05,25,Extra Swimmer With A Fairly Long Name 25,26,4
2026-05,26,Extra Swimmer With A Fairly Long Name 29,26,4
2026-05,27,David Hughes,25,4
2026-05,28,Extra Swimmer With A Fairly Long Name 30,25,4
2026-05,29,Extra Swimmer With A Fairly Long Name 24,21,4
