season,rank,swimmer,total_points,events_counted
2026,1,Peter Davidson,91,11
2026,2,Diane Foster,90,11
2026,3,Michelle Lee,88,11
2026,4,David Hughes,87,11
2026,5,Karen Mitchell,86,11
2026,6,Bryan Hesketh,85,11
2026,7,Helen Sharp,85,11
2026,8,Paul Nguyen,84,11
2026,9,Glenne Murray,82,11
2026,10,Steve Collins,82,11
2026,11,Ben Chandler,81,11
2026,12,Jenny Walsh,80,11
2026,13,Sue Williams,80,11
2026,14,Tom Richards,80,11
2026,15,Mark Thompson,78,11
2026,16,Greg Patterson,77,11
2026,17,Extra Swimmer With A Fairly Long Name 29,76,11
2026,18,Rob Stewart,76,11
2026,19,Sandra Blake,76,11
2026,20,Extra Swimmer With A Fairly Long Name 24,75,11
2026,21,Extra Swimmer With A Fairly Long Name 26,73,11
2026,22,Extra Swimmer With A Fairly Long Name 28,73,11
2026,23,Extra Swimmer With A Fairly Long Name 25,72,11
2026,24,Lisa Chen,72,11
2026,25,Extra Swimmer With A Fairly Long Name 27,71,11
2026,26,Felicia O'Brien,71,11
2026,27,Andrew Barnes,69,11
2026,28,Extra Swimmer With A Fairly Long Name 30,68,11
2026,29,James Morton,68,11
