event_date,swimmer,stroke,time_centiseconds,previous_best_seconds,is_break
2026-06-27,Andrew Barnes,25m,1610,16,0
2026-06-27,Andrew Barnes,butterfly,5080,51,0
2026-06-27,Ben Chandler,25m,1350,14,1
2026-06-27,Ben Chandler,butterfly,4280,43,0
2026-06-27,Bryan Hesketh,25m,1280,13,0
2026-06-27,Bryan Hesketh,butterfly,4150,42,0
2026-06-27,David Hughes,25m,1850,19,1
2026-06-27,David Hughes,butterfly,5810,58,0
2026-06-27,Diane Foster,25m,2140,21,0
2026-06-27,Diane Foster,butterfly,6310,63,0
2026-06-27,Extra Swimmer With A Fairly Long Name 24,25m,2150,22,1
2026-06-27,Extra Swimmer With A Fairly Long Name 25,25m,2240,22,0
2026-06-27,Extra Swimmer With A Fairly Long Name 26,25m,2210,22,0
2026-06-27,Extra Swimmer With A Fairly Long Name 27,25m,2210,22,0
2026-06-27,Extra Swimmer With A Fairly Long Name 28,25m,2180,22,0
2026-06-27,Extra Swimmer With A Fairly Long Name 29,25m,2180,22,0
2026-06-27,Extra Swimmer With A Fairly Long Name 30,25m,2150,22,1
2026-06-27,Felicia O'Brien,25m,1640,16,0
2026-06-27,Felicia O'Brien,butterfly,4980,50,0
2026-06-27,Glenne Murray,25m,2050,21,1
2026-06-27,Glenne Murray,butterfly,6450,65,0
2026-06-27,Greg Patterson,25m,1610,16,0
2026-06-27,Greg Patterson,butterfly,4980,50,0
2026-06-27,Helen Sharp,25m,1810,18,0
2026-06-27,Helen Sharp,butterfly,5350,54,0
2026-06-27,James Morton,25m,1380,14,0
2026-06-27,James Morton,butterfly,4250,43,0
2026-06-27,Jenny Walsh,25m,1750,18,1
2026-06-27,Jenny Walsh,butterfly,5480,55,0
2026-06-27,Karen Mitchell,25m,2010,20,0
2026-06-27,Karen Mitchell,butterfly,6140,61,0
2026-06-27,Lisa Chen,25m,1580,16,0
2026-06-27,Lisa Chen,butterfly,4940,49,0
2026-06-27,Mark Thompson,25m,1480,15,0
2026-06-27,Mark Thompson,butterfly,4610,46,0
2026-06-27,Michelle Lee,25m,1710,17,0
2026-06-27,Michelle Lee,butterfly,5310,53,0
2026-06-27,Paul Nguyen,25m,1510,15,0
2026-06-27,Paul Nguyen,butterfly,4650,47,0
2026-06-27,Peter Davidson,25m,1380,14,0
2026-06-27,Peter Davidson,butterfly,4440,44,0
2026-06-27,Rob Stewart,25m,1540,15,0
2026-06-27,Rob Stewart,butterfly,4740,47,0
2026-06-27,Sandra Blake,25m,2280,23,0
2026-06-27,Sandra Blake,butterfly,6580,66,0
2026-06-27,Steve Collins,25m,1650,17,1
2026-06-27,Steve Collins,butterfly,5210,52,0
2026-06-27,Sue Williams,25m,1950,20,1
2026-06-27,Sue Williams,butterfly,6210,62,0
2026-06-27,Tom Richards,25m,1340,13,0
2026-06-27,Tom Richards,butterfly,4050,41,0
2026-06-20,Andrew Barnes,25m,1610,16,0
2026-06-20,Andrew Barnes,50m,3910,39,0
2026-06-20,Ben Chandler,25m,1350,14,1
2026-06-20,Ben Chandler,50m,3250,33,0
2026-06-20,Bryan Hesketh,25m,1340,13,0
2026-06-20,Bryan Hesketh,50m,3240,32,0
2026-06-20,David Hughes,25m,1940,19,0
2026-06-20,David Hughes,50m,4440,44,0
2026-06-20,Diane Foster,25m,2110,21,0
2026-06-20,Diane Foster,50m,4810,48,0
2026-06-20,Extra Swimmer With A Fairly Long Name 24,25m,2180,22,0
2026-06-20,Extra Swimmer With A Fairly Long Name 24,50m,4980,50,0
2026-06-20,Extra Swimmer With A Fairly Long Name 25,25m,2180,22,0
2026-06-20,Extra Swimmer With A Fairly Long Name 25,50m,4980,50,0
2026-06-20,Extra Swimmer With A Fairly Long Name 26,25m,2150,22,1
2026-06-20,Extra Swimmer With A Fairly Long Name 26,50m,4950,50,0
2026-06-20,Extra Swimmer With A Fairly Long Name 27,25m,2210,22,0
2026-06-20,Extra Swimmer With A Fairly Long Name 27,50m,5010,50,0
2026-06-20,Extra Swimmer With A Fairly Long Name 28,25m,2210,22,0
2026-06-20,Extra Swimmer With A Fairly Long Name 28,50m,5010,50,0
2026-06-20,Extra Swimmer With A Fairly Long Name 29,25m,2210,22,0
2026-06-20,Extra Swimmer With A Fairly Long Name 29,50m,5010,50,0
2026-06-20,Extra Swimmer With A Fairly Long Name 30,25m,2150,22,1
2026-06-20,Extra Swimmer With A Fairly Long Name 30,50m,4950,50,0
2026-06-20,Felicia O'Brien,25m,1550,16,1
2026-06-20,Felicia O'Brien,50m,3750,38,0
2026-06-20,Glenne Murray,25m,2050,21,1
2026-06-20,Glenne Murray,50m,4850,49,0
2026-06-20,Greg Patterson,25m,1580,16,0
2026-06-20,Greg Patterson,50m,3780,38,0
2026-06-20,Helen Sharp,25m,1810,18,0
2026-06-20,Helen Sharp,50m,4210,42,0
2026-06-20,James Morton,25m,1440,14,0
2026-06-20,James Morton,50m,3340,33,0
2026-06-20,Jenny Walsh,25m,1750,18,1
2026-06-20,Jenny Walsh,50m,4150,42,0
2026-06-20,Karen Mitchell,25m,1950,20,1
2026-06-20,Karen Mitchell,50m,4550,46,0
2026-06-20,Lisa Chen,25m,1610,16,0
2026-06-20,Lisa Chen,50m,3710,37,0
2026-06-20,Mark Thompson,25m,1510,15,0
2026-06-20,Mark Thompson,50m,3510,35,0
2026-06-20,Michelle Lee,25m,1680,17,0
2026-06-20,Michelle Lee,50m,4080,41,0
2026-06-20,Paul Nguyen,25m,1480,15,0
2026-06-20,Paul Nguyen,50m,3580,36,0
2026-06-20,Peter Davidson,25m,1440,14,0
2026-06-20,Peter Davidson,50m,3440,34,0
2026-06-20,Rob Stewart,25m,1480,15,0
2026-06-20,Rob Stewart,50m,3580,36,0
2026-06-20,Sandra Blake,25m,2250,23,1
2026-06-20,Sandra Blake,50m,4950,50,0
2026-06-20,Steve Collins,25m,1740,17,0
2026-06-20,Steve Collins,50m,4040,40,0
